filename,upernet_precision,upernet_recall,upernet_f1,auraseg_precision,auraseg_recall,auraseg_f1
scene12_0069.png,1.0,0.578437917222964,0.7329245083527174,1.0,0.5771028037383178,0.731851851851852
scene12_0080.png,0.9874928936895964,0.6008078088185796,0.7470794928751988,1.0,0.5984516997643891,0.7487892187829017
scene12_0103.png,1.0,0.5644659522986519,0.7216084843128591,1.0,0.5665399239543726,0.7233009708737863
scene12_0121.png,1.0,0.5952130457653866,0.7462489694971145,1.0,0.5920568122041031,0.7437634230959855
scene12_0135.png,0.9823059360730594,0.4601960315562993,0.6267628103106613,0.983926521239954,0.4630647860387282,0.6297504646281324
scene12_0136.png,1.0,0.5336438923395446,0.6959163010462369,1.0,0.5364906832298136,0.69833249115715
scene12_0144.png,1.0,0.5719267654751525,0.7276760953965613,0.9994678020223523,0.5725079918628305,0.728005235822566
scene12_0145.png,0.9660931174089069,0.5357798165137615,0.6892902608326836,0.9682066567312468,0.5418086500655308,0.6948045351683545
scene13_0008.png,0.6104686548995739,0.31310266591038005,0.4139135960526685,0.644375,0.32387975042541123,0.4310849269547713
scene13_0018.png,0.6629994209612045,0.31424694708276796,0.42639307909983787,0.6892753623188406,0.3237449118046133,0.4405625377559055
scene13_0025.png,0.971890372452565,0.4802522402920677,0.6428466799227762,0.981184668989547,0.48921340856289414,0.6528962512587507
scene13_0034.png,0.993663594470046,0.5683143997543751,0.7230746288835135,0.9970845481049563,0.565858151673319,0.721982219223696
scene13_0045.png,0.9839779005524862,0.5681410639569635,0.7203549007684651,0.9988888888888889,0.5818888224745965,0.735387746373484
scene13_0075.png,0.9912554653341662,0.6087431693989072,0.7542756356816229,0.9968808484092326,0.614207650273224,0.7600970946096918
scene13_0076.png,0.9920948616600791,0.5793015059275873,0.7314794144076983,0.9864940911648846,0.5844280679269465,0.7340081523251848
scene13_0092.png,0.9960893854748604,0.5996048732301613,0.7485895828042479,1.0,0.6015805070793546,0.7512335526315789
scene13_0093.png,0.9755291005291006,0.5291842475386779,0.6861567801980076,0.9777777777777777,0.5228551336146273,0.6813606802359791
scene13_0115.png,0.994263862332696,0.5738575982996812,0.7277062223028481,0.958513931888545,0.5688983351044987,0.714014142493912
scene13_0120.png,0.9963465553235908,0.6136919315403423,0.7595468642629729,1.0,0.6084963325183375,0.7566026980809425
scene13_0124.png,1.0,0.6089309878213802,0.7569386038687973,1.0,0.6065629228687416,0.7551063381764582
scene13_0127.png,0.9995381062355658,0.6123946724653438,0.7594756050287322,0.9873589164785553,0.6235390051644468,0.7643647536565918
scene13_0146.png,0.999569151227919,0.6683530073074762,0.8010746122847723,1.0,0.6700393479482856,0.8024234264557388
scene13_0157.png,1.0,0.5786908077994429,0.7331274812527571,1.0,0.575208913649025,0.7303271441202476
scene14_0001.png,1.0,0.5196385123392423,0.6838975297346753,1.0,0.5192909280500522,0.6835964310226493
scene14_0004.png,1.0,0.5377426312005751,0.6993922393641888,0.9979865771812081,0.5370237239396118,0.6982916892847815
scene14_0008.png,1.0,0.5397727272727273,0.7011070110701108,1.0,0.5422979797979798,0.7032337290216947
scene14_0010.png,1.0,0.5415262028807846,0.7025844930417495,1.0,0.5424456022065584,0.7033578382674349
scene14_0016.png,1.0,0.5340706386014984,0.6962790697674418,1.0,0.5347841598287549,0.696885169688517
scene14_0078.png,1.0,0.5476353666895134,0.7077059344552701,1.0,0.5507196710075394,0.7102762430939227
scene14_0090.png,1.0,0.5140771637122002,0.6790633608815427,0.9965986394557823,0.5151199165797706,0.6791843706228899
scene14_0109.png,1.0,0.5937673900946021,0.7451117318435754,1.0,0.5918196994991652,0.7435762978500261
scene14_0112.png,1.0,0.5974477958236659,0.74800290486565,0.9970887918486172,0.5980278422273781,0.7476404495571494
scene14_0117.png,0.9932049830124575,0.5590625,0.7154226534950172,1.0,0.5615625,0.719231538923354
scene14_0120.png,1.0,0.49764209481260857,0.6645674511103745,0.9990205680705191,0.5227103499627699,0.6863215888799109
scene14_0129.png,1.0,0.5787950539331754,0.7332111314780869,0.9995621716287215,0.6101026045777427,0.7577173748999859
